utc_timestamp,PL_load [MW],PL_solar_generation [MW],PL_wind_onshore_generation [MW]
2015-01-01 01:00:00+00:00,13979.46,0.0,1444.43
2015-01-01 02:00:00+00:00,13453.78,0.0,1509.14
2015-01-01 03:00:00+00:00,13306.0,0.0,1548.33
2015-01-01 04:00:00+00:00,13175.58,0.0,1618.57
2015-01-01 05:00:00+00:00,13165.11,0.0,1660.39
2015-01-01 06:00:00+00:00,13029.75,0.0,1786.57
2015-01-01 07:00:00+00:00,12945.35,0.0,1866.69
2015-01-01 08:00:00+00:00,13454.68,0.0,1891.92
2015-01-01 09:00:00+00:00,14094.53,0.0,1853.64
2015-01-01 10:00:00+00:00,14717.89,0.0,1932.16
2015-01-01 11:00:00+00:00,15188.36,0.0,1963.52
2015-01-01 12:00:00+00:00,15637.26,0.0,1922.17
2015-01-01 13:00:00+00:00,15698.79,0.0,1853.87
2015-01-01 14:00:00+00:00,15882.16,0.0,1811.97
2015-01-01 15:00:00+00:00,17216.19,0.0,1800.1
2015-01-01 16:00:00+00:00,17645.91,0.0,1870.33
2015-01-01 17:00:00+00:00,17543.6,0.0,1919.24
2015-01-01 18:00:00+00:00,17552.65,0.0,1969.04
2015-01-01 19:00:00+00:00,17264.15,0.0,2017.61
2015-01-01 20:00:00+00:00,16559.75,0.0,2116.72
2015-01-01 21:00:00+00:00,15860.24,0.0,2200.64
2015-01-01 22:00:00+00:00,14705.78,0.0,2285.53
2015-01-01 23:00:00+00:00,13720.8,0.0,2404.63
2015-01-02 00:00:00+00:00,13258.48,0.0,2491.98
2015-01-02 01:00:00+00:00,13010.58,0.0,2584.13
2015-01-02 02:00:00+00:00,13006.9,0.0,2847.95
2015-01-02 03:00:00+00:00,13241.45,0.0,3028.9
2015-01-02 04:00:00+00:00,13985.83,0.0,3126.8
2015-01-02 05:00:00+00:00,15719.83,0.0,3191.15
2015-01-02 06:00:00+00:00,16899.63,0.0,3230.65
2015-01-02 07:00:00+00:00,17782.8,0.0,3283.05
2015-01-02 08:00:00+00:00,18763.35,0.0,3351.43
2015-01-02 09:00:00+00:00,19358.03,0.0,3374.18
2015-01-02 10:00:00+00:00,19743.78,0.0,3358.75
2015-01-02 11:00:00+00:00,20030.83,0.0,3275.98
2015-01-02 12:00:00+00:00,20491.95,0.0,3318.65
2015-01-02 13:00:00+00:00,20393.95,0.0,3313.53
2015-01-02 14:00:00+00:00,20516.4,0.0,3348.13
2015-01-02 15:00:00+00:00,21503.98,0.0,3410.78
2015-01-02 16:00:00+00:00,21448.8,0.0,3481.73
2015-01-02 17:00:00+00:00,21109.58,0.0,3539.03
2015-01-02 18:00:00+00:00,20924.3,0.0,3537.63
2015-01-02 19:00:00+00:00,20286.18,0.0,3557.1
2015-01-02 20:00:00+00:00,19113.53,0.0,3540.35
2015-01-02 21:00:00+00:00,17908.1,0.0,3512.73
2015-01-02 22:00:00+00:00,16641.7,0.0,3500.05
2015-01-02 23:00:00+00:00,15491.38,0.0,3493.83
2015-01-03 00:00:00+00:00,14866.75,0.0,3486.9
2015-01-03 01:00:00+00:00,14559.7,0.0,3521.6
2015-01-03 02:00:00+00:00,14399.3,0.0,3503.7
2015-01-03 03:00:00+00:00,14584.08,0.0,3487.48
2015-01-03 04:00:00+00:00,14754.5,0.0,3444.13
2015-01-03 05:00:00+00:00,15689.43,0.0,3456.28
2015-01-03 06:00:00+00:00,16285.25,0.0,3489.85
2015-01-03 07:00:00+00:00,17005.98,0.0,3491.7
2015-01-03 08:00:00+00:00,18138.15,0.0,3471.0
2015-01-03 09:00:00+00:00,18846.65,0.0,3464.88
2015-01-03 10:00:00+00:00,19193.75,0.0,3493.03
2015-01-03 11:00:00+00:00,19228.25,0.0,3487.15
2015-01-03 12:00:00+00:00,19455.45,0.0,3497.95
2015-01-03 13:00:00+00:00,19216.58,0.0,3483.6
2015-01-03 14:00:00+00:00,19568.15,0.0,3448.13
2015-01-03 15:00:00+00:00,20674.05,0.0,3351.08
2015-01-03 16:00:00+00:00,20548.28,0.0,3235.18
2015-01-03 17:00:00+00:00,20469.95,0.0,3192.85
2015-01-03 18:00:00+00:00,20157.95,0.0,3248.18
2015-01-03 19:00:00+00:00,19535.68,0.0,3156.05
2015-01-03 20:00:00+00:00,18337.53,0.0,3107.63
2015-01-03 21:00:00+00:00,17324.4,0.0,3014.4
2015-01-03 22:00:00+00:00,16106.93,0.0,2958.18
2015-01-03 23:00:00+00:00,15072.2,0.0,2914.55
2015-01-04 00:00:00+00:00,14350.25,0.0,2918.23
2015-01-04 01:00:00+00:00,13946.2,0.0,2909.78
2015-01-04 02:00:00+00:00,13792.85,0.0,2947.45
2015-01-04 03:00:00+00:00,13817.23,0.0,3036.7
2015-01-04 04:00:00+00:00,13964.8,0.0,3153.4
2015-01-04 05:00:00+00:00,14381.15,0.0,3201.33
2015-01-04 06:00:00+00:00,14469.73,0.0,3217.83
2015-01-04 07:00:00+00:00,15067.3,0.0,3257.2
2015-01-04 08:00:00+00:00,16019.33,0.0,3310.23
2015-01-04 09:00:00+00:00,16764.95,0.0,3351.63
2015-01-04 10:00:00+00:00,17174.65,0.0,3437.8
2015-01-04 11:00:00+00:00,17300.2,0.0,3461.35
2015-01-04 12:00:00+00:00,17593.1,0.0,3503.1
2015-01-04 13:00:00+00:00,17347.43,0.0,3436.58
2015-01-04 14:00:00+00:00,17553.35,0.0,3407.6
2015-01-04 15:00:00+00:00,19026.25,0.0,3366.15
2015-01-04 16:00:00+00:00,19287.33,0.0,3330.85
2015-01-04 17:00:00+00:00,19294.88,0.0,3340.7
2015-01-04 18:00:00+00:00,19320.15,0.0,3316.95
2015-01-04 19:00:00+00:00,18646.8,0.0,3206.25
2015-01-04 20:00:00+00:00,17920.38,0.0,3133.9
2015-01-04 21:00:00+00:00,16953.08,0.0,3043.28
2015-01-04 22:00:00+00:00,15826.7,0.0,2893.35
2015-01-04 23:00:00+00:00,14796.23,0.0,2706.08
2015-01-05 00:00:00+00:00,14212.15,0.0,2559.38
2015-01-05 01:00:00+00:00,14036.88,0.0,2485.48
2015-01-05 02:00:00+00:00,13981.18,0.0,2336.93
2015-01-05 03:00:00+00:00,14320.73,0.0,2291.13
2015-01-05 04:00:00+00:00,15035.9,0.0,2166.05
2015-01-05 05:00:00+00:00,17081.28,0.0,1993.93
2015-01-05 06:00:00+00:00,18428.8,0.0,1789.3
2015-01-05 07:00:00+00:00,19411.8,0.0,1620.98
2015-01-05 08:00:00+00:00,20241.28,0.0,1599.58
2015-01-05 09:00:00+00:00,20542.63,0.0,1584.43
2015-01-05 10:00:00+00:00,20803.03,0.0,1689.48
2015-01-05 11:00:00+00:00,20876.93,0.0,1800.63
2015-01-05 12:00:00+00:00,21171.43,0.0,1683.9
2015-01-05 13:00:00+00:00,20995.2,0.0,1555.85
2015-01-05 14:00:00+00:00,20977.08,0.0,1537.08
2015-01-05 15:00:00+00:00,22323.0,0.0,1635.28
2015-01-05 16:00:00+00:00,22399.28,0.0,1681.65
2015-01-05 17:00:00+00:00,22214.55,0.0,1812.9
2015-01-05 18:00:00+00:00,21919.6,0.0,1637.35
2015-01-05 19:00:00+00:00,21086.43,0.0,1398.75
2015-01-05 20:00:00+00:00,19861.45,0.0,1296.35
2015-01-05 21:00:00+00:00,18574.75,0.0,1280.25
2015-01-05 22:00:00+00:00,17262.93,0.0,1168.28
2015-01-05 23:00:00+00:00,16169.95,0.0,1059.05
2015-01-06 00:00:00+00:00,15395.75,0.0,960.73
2015-01-06 01:00:00+00:00,15059.28,0.0,786.2
2015-01-06 02:00:00+00:00,14924.78,0.0,643.58
2015-01-06 03:00:00+00:00,14872.98,0.0,568.93
2015-01-06 04:00:00+00:00,14824.93,0.0,465.1
2015-01-06 05:00:00+00:00,15005.05,0.0,412.53
2015-01-06 06:00:00+00:00,15064.28,0.0,426.78
2015-01-06 07:00:00+00:00,15570.9,0.0,453.6
2015-01-06 08:00:00+00:00,16433.73,0.0,414.83
2015-01-06 09:00:00+00:00,17014.85,0.0,278.28
2015-01-06 10:00:00+00:00,17398.95,0.0,231.93
2015-01-06 11:00:00+00:00,17560.93,0.0,211.43
2015-01-06 12:00:00+00:00,17905.55,0.0,208.13
2015-01-06 13:00:00+00:00,17608.8,0.0,282.68
2015-01-06 14:00:00+00:00,17647.95,0.0,374.38
2015-01-06 15:00:00+00:00,19321.03,0.0,547.53
2015-01-06 16:00:00+00:00,19796.93,0.0,752.5
2015-01-06 17:00:00+00:00,19897.25,0.0,1021.75
2015-01-06 18:00:00+00:00,19907.7,0.0,1226.4
2015-01-06 19:00:00+00:00,19579.05,0.0,1540.23
2015-01-06 20:00:00+00:00,18636.03,0.0,1743.85
2015-01-06 21:00:00+00:00,17812.3,0.0,1903.33
2015-01-06 22:00:00+00:00,16429.1,0.0,1984.15
2015-01-06 23:00:00+00:00,15520.7,0.0,2016.75
2015-01-07 00:00:00+00:00,15134.43,0.0,2151.23
2015-01-07 01:00:00+00:00,14919.15,0.0,2119.7
2015-01-07 02:00:00+00:00,15074.68,0.0,2189.85
2015-01-07 03:00:00+00:00,15366.05,0.0,2036.5
2015-01-07 04:00:00+00:00,16505.63,0.0,2035.9
2015-01-07 05:00:00+00:00,19846.4,0.0,2133.15
2015-01-07 06:00:00+00:00,21757.35,0.0,2078.33
2015-01-07 07:00:00+00:00,22658.3,0.0,2069.45
2015-01-07 08:00:00+00:00,23187.25,0.0,2114.58
2015-01-07 09:00:00+00:00,23307.68,0.0,1964.48
2015-01-07 10:00:00+00:00,23492.4,0.0,1874.3
2015-01-07 11:00:00+00:00,23582.85,0.0,1782.2
2015-01-07 12:00:00+00:00,23708.43,0.0,1682.58
2015-01-07 13:00:00+00:00,23499.68,0.0,1582.88
2015-01-07 14:00:00+00:00,23527.85,0.0,1519.65
2015-01-07 15:00:00+00:00,24799.9,0.0,1485.75
2015-01-07 16:00:00+00:00,24771.88,0.0,1491.45
2015-01-07 17:00:00+00:00,24396.33,0.0,1446.1
2015-01-07 18:00:00+00:00,24237.53,0.0,1439.0
2015-01-07 19:00:00+00:00,23519.4,0.0,1382.7
2015-01-07 20:00:00+00:00,21839.28,0.0,1327.75
2015-01-07 21:00:00+00:00,20220.58,0.0,1236.68
2015-01-07 22:00:00+00:00,18784.83,0.0,1199.13
2015-01-07 23:00:00+00:00,17725.3,0.0,1198.1
2015-01-08 00:00:00+00:00,17096.83,0.0,1140.33
2015-01-08 01:00:00+00:00,16691.88,0.0,1174.78
2015-01-08 02:00:00+00:00,16763.93,0.0,1280.08
2015-01-08 03:00:00+00:00,17045.03,0.0,1403.15
2015-01-08 04:00:00+00:00,17819.55,0.0,1522.43
2015-01-08 05:00:00+00:00,20514.0,0.0,1615.75
2015-01-08 06:00:00+00:00,22147.58,0.0,1777.08
2015-01-08 07:00:00+00:00,22826.1,0.0,2112.08
2015-01-08 08:00:00+00:00,23163.38,0.0,2337.05
2015-01-08 09:00:00+00:00,23138.55,0.0,2414.65
2015-01-08 10:00:00+00:00,23368.63,0.0,2314.48
2015-01-08 11:00:00+00:00,23303.9,0.0,2342.18
2015-01-08 12:00:00+00:00,23276.65,0.0,2195.58
2015-01-08 13:00:00+00:00,23072.33,0.0,2203.68
2015-01-08 14:00:00+00:00,23200.2,0.0,2322.03
2015-01-08 15:00:00+00:00,24445.3,0.0,2416.63
2015-01-08 16:00:00+00:00,24559.15,0.0,2620.63
2015-01-08 17:00:00+00:00,24210.25,0.0,2545.6
2015-01-08 18:00:00+00:00,24048.15,0.0,2512.45
2015-01-08 19:00:00+00:00,23141.2,0.0,2496.93
2015-01-08 20:00:00+00:00,21517.9,0.0,2609.95
2015-01-08 21:00:00+00:00,19791.18,0.0,2685.95
2015-01-08 22:00:00+00:00,18446.5,0.0,2770.48
2015-01-08 23:00:00+00:00,17618.05,0.0,3036.23
2015-01-09 00:00:00+00:00,17064.65,0.0,3233.13
2015-01-09 01:00:00+00:00,16721.7,0.0,3291.03
2015-01-09 02:00:00+00:00,16678.38,0.0,3406.53
2015-01-09 03:00:00+00:00,16875.8,0.0,3454.48
2015-01-09 04:00:00+00:00,17623.83,0.0,3432.03
2015-01-09 05:00:00+00:00,20394.18,0.0,3475.45
2015-01-09 06:00:00+00:00,21996.35,0.0,3411.68
2015-01-09 07:00:00+00:00,22651.6,0.0,3420.23
2015-01-09 08:00:00+00:00,22907.23,0.0,3388.08
2015-01-09 09:00:00+00:00,22955.68,0.0,3411.55
2015-01-09 10:00:00+00:00,23136.83,0.0,3417.45
2015-01-09 11:00:00+00:00,23248.9,0.0,3479.18
2015-01-09 12:00:00+00:00,23453.63,0.0,3455.48
2015-01-09 13:00:00+00:00,23304.83,0.0,3394.6
2015-01-09 14:00:00+00:00,23280.73,0.0,3380.58
2015-01-09 15:00:00+00:00,24106.03,0.0,3387.33
2015-01-09 16:00:00+00:00,23959.88,0.0,3408.38
2015-01-09 17:00:00+00:00,23611.1,0.0,3446.4
2015-01-09 18:00:00+00:00,23351.73,0.0,3503.28
2015-01-09 19:00:00+00:00,22494.45,0.0,3449.93
2015-01-09 20:00:00+00:00,20795.98,0.0,3414.58
2015-01-09 21:00:00+00:00,19461.23,0.0,3396.1
2015-01-09 22:00:00+00:00,18307.83,0.0,3349.43
2015-01-09 23:00:00+00:00,17109.38,0.0,3321.08
2015-01-10 00:00:00+00:00,16438.15,0.0,3250.88
2015-01-10 01:00:00+00:00,16122.3,0.0,3092.38
2015-01-10 02:00:00+00:00,15987.9,0.0,2859.0
2015-01-10 03:00:00+00:00,15951.9,0.0,2636.13
2015-01-10 04:00:00+00:00,16166.18,0.0,2293.23
2015-01-10 05:00:00+00:00,17264.88,0.0,1977.23
2015-01-10 06:00:00+00:00,18177.35,0.0,1936.75
2015-01-10 07:00:00+00:00,19154.3,0.0,1649.38
2015-01-10 08:00:00+00:00,20254.68,0.0,1574.85
2015-01-10 09:00:00+00:00,20802.38,0.0,1750.03
2015-01-10 10:00:00+00:00,21042.1,0.0,2171.63
2015-01-10 11:00:00+00:00,20970.58,0.0,2590.78
2015-01-10 12:00:00+00:00,20944.83,0.0,3012.4
2015-01-10 13:00:00+00:00,20566.15,0.0,3230.08
2015-01-10 14:00:00+00:00,20447.18,0.0,3331.25
2015-01-10 15:00:00+00:00,21424.55,0.0,3232.03
2015-01-10 16:00:00+00:00,21300.08,0.0,3180.95
2015-01-10 17:00:00+00:00,20709.1,0.0,2534.7
2015-01-10 18:00:00+00:00,20433.53,0.0,2869.88
2015-01-10 19:00:00+00:00,19796.88,0.0,2892.1
2015-01-10 20:00:00+00:00,18466.08,0.0,2945.35
2015-01-10 21:00:00+00:00,17453.48,0.0,2899.03
2015-01-10 22:00:00+00:00,16345.75,0.0,2753.13
2015-01-10 23:00:00+00:00,15314.53,0.0,2780.38
2015-01-11 00:00:00+00:00,14609.4,0.0,2723.0
2015-01-11 01:00:00+00:00,14299.23,0.0,2824.08
2015-01-11 02:00:00+00:00,14179.85,0.0,2899.73
2015-01-11 03:00:00+00:00,14214.15,0.0,2834.53
2015-01-11 04:00:00+00:00,14324.28,0.0,2894.88
2015-01-11 05:00:00+00:00,14840.6,0.0,2971.78
2015-01-11 06:00:00+00:00,15034.2,0.0,3031.98
2015-01-11 07:00:00+00:00,15693.93,0.0,3027.35
2015-01-11 08:00:00+00:00,16765.9,0.0,3117.23
2015-01-11 09:00:00+00:00,17396.2,0.0,3159.7
2015-01-11 10:00:00+00:00,17880.6,0.0,3240.3
2015-01-11 11:00:00+00:00,18036.73,0.0,3267.88
2015-01-11 12:00:00+00:00,18296.55,0.0,3325.65
2015-01-11 13:00:00+00:00,18138.43,0.0,3393.6
2015-01-11 14:00:00+00:00,18034.2,0.0,3454.65
2015-01-11 15:00:00+00:00,19390.23,0.0,3541.75
2015-01-11 16:00:00+00:00,19787.5,0.0,3565.45
2015-01-11 17:00:00+00:00,19818.13,0.0,3568.08
2015-01-11 18:00:00+00:00,19846.78,0.0,3562.8
2015-01-11 19:00:00+00:00,19064.28,0.0,3551.98
2015-01-11 20:00:00+00:00,18117.48,0.0,3545.85
2015-01-11 21:00:00+00:00,17297.2,0.0,3476.48
2015-01-11 22:00:00+00:00,16155.18,0.0,3433.85
2015-01-11 23:00:00+00:00,15221.08,0.0,3347.78
2015-01-12 00:00:00+00:00,14720.18,0.0,3186.15
2015-01-12 01:00:00+00:00,14576.7,0.0,3104.75
2015-01-12 02:00:00+00:00,14681.63,0.0,3018.13
2015-01-12 03:00:00+00:00,15076.78,0.0,2836.05
2015-01-12 04:00:00+00:00,16274.08,0.0,2597.2
2015-01-12 05:00:00+00:00,19562.55,0.0,2302.83
2015-01-12 06:00:00+00:00,21536.25,0.0,2480.8
2015-01-12 07:00:00+00:00,22428.9,0.0,2692.65
2015-01-12 08:00:00+00:00,22785.85,0.0,2863.2
2015-01-12 09:00:00+00:00,22930.88,0.0,2957.9
2015-01-12 10:00:00+00:00,23036.5,0.0,3013.2
2015-01-12 11:00:00+00:00,23225.93,0.0,3079.78
2015-01-12 12:00:00+00:00,23273.78,0.0,3119.28
2015-01-12 13:00:00+00:00,23052.23,0.0,3098.45
2015-01-12 14:00:00+00:00,23136.6,0.0,3202.05
2015-01-12 15:00:00+00:00,24102.85,0.0,3318.55
2015-01-12 16:00:00+00:00,24189.7,0.0,3451.63
2015-01-12 17:00:00+00:00,23864.08,0.0,3507.1
2015-01-12 18:00:00+00:00,23689.1,0.0,3551.53
2015-01-12 19:00:00+00:00,22875.18,0.0,3578.63
2015-01-12 20:00:00+00:00,21300.68,0.0,3563.83
2015-01-12 21:00:00+00:00,19659.28,0.0,3526.48
2015-01-12 22:00:00+00:00,18269.48,0.0,3529.35
2015-01-12 23:00:00+00:00,17135.15,0.0,3506.53
2015-01-13 00:00:00+00:00,16607.43,0.0,3452.48
2015-01-13 01:00:00+00:00,16256.4,0.0,3408.28
2015-01-13 02:00:00+00:00,16202.55,0.0,3285.93
2015-01-13 03:00:00+00:00,16499.93,0.0,3106.73
2015-01-13 04:00:00+00:00,17465.38,0.0,2834.7
2015-01-13 05:00:00+00:00,20165.58,0.0,2541.5
2015-01-13 06:00:00+00:00,21816.15,0.0,2443.13
2015-01-13 07:00:00+00:00,22308.93,0.0,2424.8
2015-01-13 08:00:00+00:00,22451.25,0.0,2388.85
2015-01-13 09:00:00+00:00,22427.93,0.0,2469.75
2015-01-13 10:00:00+00:00,22613.2,0.0,2754.03
2015-01-13 11:00:00+00:00,22524.43,0.0,2871.73
2015-01-13 12:00:00+00:00,22491.75,0.0,2914.53
2015-01-13 13:00:00+00:00,22183.85,0.0,2980.05
2015-01-13 14:00:00+00:00,22072.08,0.0,3073.25
2015-01-13 15:00:00+00:00,23491.78,0.0,3212.7
2015-01-13 16:00:00+00:00,23899.3,0.0,3332.78
2015-01-13 17:00:00+00:00,23709.98,0.0,3324.28
2015-01-13 18:00:00+00:00,23596.63,0.0,3281.73
2015-01-13 19:00:00+00:00,22798.05,0.0,3206.38
2015-01-13 20:00:00+00:00,21092.48,0.0,2902.9
2015-01-13 21:00:00+00:00,19570.03,0.0,2629.15
2015-01-13 22:00:00+00:00,18166.83,0.0,2295.95
2015-01-13 23:00:00+00:00,17018.35,0.0,2234.75
2015-01-14 00:00:00+00:00,16424.68,0.0,2052.48
2015-01-14 01:00:00+00:00,16109.55,0.0,2000.2
2015-01-14 02:00:00+00:00,16205.08,0.0,2169.1
2015-01-14 03:00:00+00:00,16461.7,0.0,2201.4
2015-01-14 04:00:00+00:00,17284.88,0.0,2226.15
2015-01-14 05:00:00+00:00,20183.65,0.0,2175.88
2015-01-14 06:00:00+00:00,21698.95,0.0,2001.2
2015-01-14 07:00:00+00:00,22303.0,0.0,1974.13
2015-01-14 08:00:00+00:00,22589.4,0.0,2249.85
2015-01-14 09:00:00+00:00,22401.25,0.0,2292.4
2015-01-14 10:00:00+00:00,22627.53,0.0,2762.18
2015-01-14 11:00:00+00:00,22791.68,0.0,3009.58
2015-01-14 12:00:00+00:00,22650.1,0.0,2865.83
2015-01-14 13:00:00+00:00,22348.3,0.0,2849.68
2015-01-14 14:00:00+00:00,22341.53,0.0,2672.78
2015-01-14 15:00:00+00:00,23645.98,0.0,2295.93
2015-01-14 16:00:00+00:00,23904.33,0.0,2116.2
2015-01-14 17:00:00+00:00,23773.88,0.0,1844.1
2015-01-14 18:00:00+00:00,23654.3,0.0,1838.85
2015-01-14 19:00:00+00:00,22852.2,0.0,1633.65
2015-01-14 20:00:00+00:00,21082.98,0.0,1472.0
2015-01-14 21:00:00+00:00,19414.8,0.0,1262.88
2015-01-14 22:00:00+00:00,18146.1,0.0,1148.8
2015-01-14 23:00:00+00:00,16958.65,0.0,1148.25
2015-01-15 00:00:00+00:00,16389.9,0.0,1366.93
2015-01-15 01:00:00+00:00,16071.3,0.0,1298.43
2015-01-15 02:00:00+00:00,16118.08,0.0,1147.3
2015-01-15 03:00:00+00:00,16359.0,0.0,1036.18
2015-01-15 04:00:00+00:00,17197.0,0.0,792.58
2015-01-15 05:00:00+00:00,20086.0,0.0,777.5
2015-01-15 06:00:00+00:00,21640.38,0.0,857.63
2015-01-15 07:00:00+00:00,22286.3,0.0,1033.55
2015-01-15 08:00:00+00:00,22469.43,0.0,1180.2
2015-01-15 09:00:00+00:00,22399.35,0.0,1297.58
2015-01-15 10:00:00+00:00,22609.25,0.0,1623.88
2015-01-15 11:00:00+00:00,22553.55,0.0,1920.53
2015-01-15 12:00:00+00:00,22611.93,0.0,2162.8
2015-01-15 13:00:00+00:00,22438.93,0.0,2324.1
2015-01-15 14:00:00+00:00,22428.58,0.0,2505.2
2015-01-15 15:00:00+00:00,23905.98,0.0,2700.98
2015-01-15 16:00:00+00:00,24122.73,0.0,2927.6
2015-01-15 17:00:00+00:00,23763.6,0.0,3005.73
2015-01-15 18:00:00+00:00,23565.4,0.0,3121.8
2015-01-15 19:00:00+00:00,22918.4,0.0,3212.73
2015-01-15 20:00:00+00:00,21337.25,0.0,3261.03
2015-01-15 21:00:00+00:00,19627.48,0.0,3123.7
2015-01-15 22:00:00+00:00,18202.15,0.0,3115.68
2015-01-15 23:00:00+00:00,17132.4,0.0,3098.38
2015-01-16 00:00:00+00:00,16488.13,0.0,3004.35
2015-01-16 01:00:00+00:00,16148.13,0.0,2933.5
2015-01-16 02:00:00+00:00,16227.63,0.0,2760.45
2015-01-16 03:00:00+00:00,16450.3,0.0,2728.65
2015-01-16 04:00:00+00:00,17189.88,0.0,2597.28
2015-01-16 05:00:00+00:00,20115.48,0.0,2584.65
2015-01-16 06:00:00+00:00,21593.93,0.0,2515.9
2015-01-16 07:00:00+00:00,22075.6,0.0,2584.9
2015-01-16 08:00:00+00:00,22296.63,0.0,2302.4
2015-01-16 09:00:00+00:00,22128.13,0.0,1879.4
2015-01-16 10:00:00+00:00,22274.23,0.0,1640.63
2015-01-16 11:00:00+00:00,22220.73,0.0,1371.98
2015-01-16 12:00:00+00:00,22280.78,0.0,1291.93
2015-01-16 13:00:00+00:00,22072.6,0.0,1099.63
2015-01-16 14:00:00+00:00,22024.95,0.0,1043.63
2015-01-16 15:00:00+00:00,23489.08,0.0,1107.03
2015-01-16 16:00:00+00:00,23731.88,0.0,1090.45
2015-01-16 17:00:00+00:00,23342.73,0.0,1038.18
2015-01-16 18:00:00+00:00,23060.53,0.0,968.7
2015-01-16 19:00:00+00:00,22245.93,0.0,860.73
2015-01-16 20:00:00+00:00,20599.98,0.0,797.03
2015-01-16 21:00:00+00:00,19102.85,0.0,715.13
2015-01-16 22:00:00+00:00,17946.05,0.0,756.13
2015-01-16 23:00:00+00:00,16848.0,0.0,790.78
2015-01-17 00:00:00+00:00,16069.75,0.0,831.85
2015-01-17 01:00:00+00:00,15782.0,0.0,879.68
2015-01-17 02:00:00+00:00,15709.95,0.0,1030.53
2015-01-17 03:00:00+00:00,15727.9,0.0,1009.18
2015-01-17 04:00:00+00:00,15978.8,0.0,994.03
2015-01-17 05:00:00+00:00,17024.48,0.0,875.25
2015-01-17 06:00:00+00:00,17859.7,0.0,978.63
2015-01-17 07:00:00+00:00,19070.2,0.0,1096.8
2015-01-17 08:00:00+00:00,19944.15,0.0,1066.58
2015-01-17 09:00:00+00:00,20318.13,0.0,935.2
2015-01-17 10:00:00+00:00,20499.43,0.0,967.65
2015-01-17 11:00:00+00:00,20384.4,0.0,889.98
2015-01-17 12:00:00+00:00,20417.53,0.0,824.6
2015-01-17 13:00:00+00:00,20049.3,0.0,763.93
2015-01-17 14:00:00+00:00,20047.28,0.0,642.15
2015-01-17 15:00:00+00:00,21212.45,0.0,749.2
2015-01-17 16:00:00+00:00,21306.4,0.0,879.15
2015-01-17 17:00:00+00:00,21053.05,0.0,990.1
2015-01-17 18:00:00+00:00,20794.23,0.0,1012.2
2015-01-17 19:00:00+00:00,20087.23,0.0,990.58
2015-01-17 20:00:00+00:00,18802.25,0.0,845.4
2015-01-17 21:00:00+00:00,17720.9,0.0,695.85
2015-01-17 22:00:00+00:00,16502.03,0.0,631.78
2015-01-17 23:00:00+00:00,15445.78,0.0,625.13
2015-01-18 00:00:00+00:00,14813.38,0.0,510.75
2015-01-18 01:00:00+00:00,14387.5,0.0,411.2
2015-01-18 02:00:00+00:00,14217.28,0.0,351.33
2015-01-18 03:00:00+00:00,14197.08,0.0,311.63
2015-01-18 04:00:00+00:00,14364.78,0.0,272.75
2015-01-18 05:00:00+00:00,14845.23,0.0,308.68
2015-01-18 06:00:00+00:00,15139.88,0.0,322.63
2015-01-18 07:00:00+00:00,15939.68,0.0,354.58
2015-01-18 08:00:00+00:00,16898.2,0.0,356.53
2015-01-18 09:00:00+00:00,17690.93,0.0,295.33
2015-01-18 10:00:00+00:00,17930.9,0.0,209.53
2015-01-18 11:00:00+00:00,18106.25,0.0,192.15
2015-01-18 12:00:00+00:00,18138.9,0.0,172.65
2015-01-18 13:00:00+00:00,17911.95,0.0,147.35
2015-01-18 14:00:00+00:00,17704.23,0.0,184.88
2015-01-18 15:00:00+00:00,18993.05,0.0,265.8
2015-01-18 16:00:00+00:00,19512.35,0.0,339.73
2015-01-18 17:00:00+00:00,19636.48,0.0,384.48
2015-01-18 18:00:00+00:00,19635.63,0.0,391.48
2015-01-18 19:00:00+00:00,18994.55,0.0,353.78
2015-01-18 20:00:00+00:00,18191.95,0.0,356.33
2015-01-18 21:00:00+00:00,17202.8,0.0,361.35
2015-01-18 22:00:00+00:00,16076.45,0.0,334.15
2015-01-18 23:00:00+00:00,15144.3,0.0,279.03
2015-01-19 00:00:00+00:00,14788.28,0.0,264.03
2015-01-19 01:00:00+00:00,14547.8,0.0,230.85
2015-01-19 02:00:00+00:00,14564.7,0.0,211.98
2015-01-19 03:00:00+00:00,14938.55,0.0,229.6
2015-01-19 04:00:00+00:00,16053.9,0.0,232.03
2015-01-19 05:00:00+00:00,19347.35,0.0,303.0
2015-01-19 06:00:00+00:00,21293.63,0.0,310.4
2015-01-19 07:00:00+00:00,22261.2,0.0,321.85
2015-01-19 08:00:00+00:00,22757.6,0.0,292.83
2015-01-19 09:00:00+00:00,22869.63,0.0,232.5
2015-01-19 10:00:00+00:00,23050.58,0.0,258.5
2015-01-19 11:00:00+00:00,23199.73,0.0,331.33
2015-01-19 12:00:00+00:00,23269.93,0.0,292.45
2015-01-19 13:00:00+00:00,23041.43,0.0,285.65
2015-01-19 14:00:00+00:00,22843.78,0.0,339.58
2015-01-19 15:00:00+00:00,23770.18,0.0,406.88
2015-01-19 16:00:00+00:00,23925.38,0.0,484.2
2015-01-19 17:00:00+00:00,23597.95,0.0,611.95
2015-01-19 18:00:00+00:00,23441.85,0.0,671.05
2015-01-19 19:00:00+00:00,22529.55,0.0,681.18
2015-01-19 20:00:00+00:00,21097.98,0.0,691.9
2015-01-19 21:00:00+00:00,19559.75,0.0,681.8
